mes-año;Acum_mensual;Prom_mensual
1/11/2017;119,2;3,973333333
1/12/2017;16,4;0,529032258
1/1/2018;4,8;0,15483871
1/2/2018;0;0
1/3/2018;0;0
1/4/2018;0;0
1/5/2018;349;11,25806452
1/6/2018;200,4;6,464516129
1/7/2018;131,2;4,232258065
1/8/2018;58,4;1,883870968
1/9/2018;238,6;7,953333333
1/10/2018;734,2;23,68387097
1/11/2018;56,2;1,812903226
1/12/2018;0;0
1/1/2019;0;0
1/2/2019;0;0
1/3/2019;0;0
1/4/2019;0;0
1/5/2019;402,6;12,98709677
1/6/2019;165,8;5,526666667
1/7/2019;33;1,064516129
1/8/2019;54,4;1,75483871
1/9/2019;325,6;10,85333333
1/10/2019;534,2;17,23225806
1/11/2019;44,2;1,473333333
1/12/2019;2,4;0,077419355
1/1/2020;0;0
1/2/2020;0;0
1/3/2020;0;0
1/4/2020;42;1,4
1/5/2020;269,6;8,696774194
1/6/2020;251;8,366666667
1/7/2020;259;8,35483871
1/8/2020;756,2;24,39354839
1/9/2020;299,6;9,986666667
1/10/2020;581,8;18,76774194
1/11/2020;493;16,43333333
1/12/2020;18,2;0,587096774
1/1/2021;9,4;0,303225806
1/2/2021;0;0
1/3/2021;0;0
1/4/2021;158,6;5,286666667
1/5/2021;88,2;2,84516129
1/6/2021;222,6;7,42
1/7/2021;151;4,870967742
1/8/2021;449,2;14,49032258
1/9/2021;368,8;12,29333333
1/10/2021;177,6;5,729032258
1/11/2021;21,8;0,703225806
1/12/2021;0;0
